바비킴 속 하+ㄴ그룹 부가 킹즈, 2집 발 .	PER-B O O ORG-B O O O O
서태지와 아이들 출신 이+ㄴ YG엔터테인먼트 양현석 이사가 18일 이 같은 입장을 YG 공식 홈페이지에 올리었다 .	ORG-B O O O ORG-B PER-B O O O O O ORG-B O O O O
양 이사는 "음악 관련 종사자들은 YG와 SM, JYP에 대하+ 여비교를 많이 하+ㄴ다 .	PER-B O O O O ORG-B ORG-B ORG-B O O O O O
이영애, '윤도현…' 서자우림 노래 열 .	PER-B PER-B PER-B O O O
한편 이날 녹화에는 신혜성, KCM, 소찬휘, 데프콘 등이 출연하며, 22일 방송되+ㄴ다 .	O O O PER-B PER-B PER-B PER-B O O O O O
쿨의 히트곡을 +어내+ㄴ 김형규, 위종수 등의 작곡가들도 참여하였다.가수은지원도 김우주의 노래를 듣은 후, 수록곡 '독'에 피처링을 하겠다며 이 곡의 랩 메이킹까지 선사하였다. 선배가수 김조한도 첫 방송 현장에서 만나 +ㄴ 김우주를 챙기며 많은 조언을 +였다. 든든 하+ㄴ 지원군을 등에 업고 발표 하+ㄴ 데뷔 음반 'BeforeYouSleep'은 다행히 대중의 시선을 끌고 있다 .	ORG-B O O PER-B PER-B O O PER-B PER-B O O O O O O O O O O O O O PER-B O O O O O PER-B O O O O O O O O O O O O O O O O O O O O
'아시아 스타' 비(23)가 일본 도쿄 부도칸에서 단독 공연을 펼치+ㄴ다 .	LOC-B O PER-B LOC-B LOC-B LOC-B O O O O
SBS, 일본에서 '한류올스타 콘서트' 개최 예 .	ORG-B LOC-B O O O O O
▲ 아버지 효자손에 맞았다 마야의 아버지는 막내딸에게 엄하였다. 그는 용돈을 쪼개 +어모으+ㄴ 통장을 학교에서 받은 날 몰래 쓰려고 가방 속에 숨기+어놓았다가 아버지 효자손에 맞기도 +였다.지금은 아버지의 굽어 지+ㄴ 허리와 효자손이 닮아 있다고 하+ㄴ다 .	O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이 소송에 참여하고 있는 음반 제작사들은 19일 "네이버 사이트나 +의 블로그에서 음원이 불법 배포 및 공유되는 상황을 차단하고자 네이버 측에 권리 침해 사실을 통보하고 삭제를 요구하였다"며 "그러나 네이버 측이 소극적으로 대응, 저작권법 위반과 관련 하+여 네티즌 4천명을 상대로 법적 대응을 결정하였다"고 밝히었다 .	O O O O O O O ORG-B O O O O O O O O O O ORG-B O O O O O O O O ORG-B O O O O O O O O O O O O O O O
록밴드 '오메가3'와 '몽구스'가 23일 오후 7시 홍대 라이브클럽 쌈에서 합동 콘서트 '더 쓰리썸 그루브!(TheThreesomeG roove!)'를 열 +ㄴ다 .	O ORG-B ORG-B O O O LOC-B O LOC-B O O O O O O O O O
19일 오전부터m. net 등 음악 전문채널을 통하+여전파를 타+ㄴ타이틀곡 '나+의 사랑송이'뮤비에서 강원래는 구준엽과 함께 소파에 앉아 있다 두 발로 벌떡 일어나 +아구준엽과 하이파이브를 하+ㄴ 후역동적으로 춤을 추는 장면을 연출하였다 .	O O O O O O O O O O PER-B PER-B O O O O O O O O PER-B O O O O O O O O
두 다리로 힘겹게 일어서려는 강원래의 모습에 이 장면은 참여스태프의 눈시울을 적시었고 아내 송이씨는 말을 잇지 못하고 눈물을 흘리었다 .	O O O O PER-B O O O O O O O PER-B O O O O O O
'나+의 사랑송이' 뮤비의 엔딩에는 '사랑 하+ㄴ다송이야' +이라는 멘트와 함께 강원래와 송이씨의 결혼사진이 앵글에 담기 +ㄴ다 .	O PER-B O O O PER-B O O O PER-B PER-B O O O O O
인기 스타의 일상을 전달하는 리얼리티 프로그램 '리얼드라마'는 매주 월-수요일 오전 9시 30분에 시청자를 찾아가 +ㄴ다 .	O O O O O O O O O O O O O O O O
록밴드로는 '와이낫?'과 메탈 밴드 '사일런트 아이', 블루스 밴드 '윤병주 밴드' 등이 나 오+ㄴ다 .	O ORG-B O O ORG-B O O O ORG-B O O O O O
'클린&더티(Clean&Dirty)'로 국내에도 잘 알려지+ㄴ 일본 밴드 '하버드(HARVARD)'의 2집 '오라클(Oracle)'이 국내에 나오았다 .	O O O O LOC-B O ORG-B O O O O O
케이블TV 음악채널 Mnet이 새롭ㄴ BI(BrandIdentity)와 캐릭터를 발표하였다 .	O O O O O O O O
경남 진주 MBC(사장 김영철)가 풍성하+ㄴ 여름 특집 프로그램을 마련하고 피서객 곁으로 다가가 +ㄴ다 .	ORG-B O O PER-B O O O O O O O O O O
헌정무대 중 마지막 무대를 장식하는 이미 자를 21일 오후 KBS홀에서 만나 +았다 .	O O O O O O O O O LOC-B O O O
--기념 공연을 많이 하는데 데뷔 50주년 기념 공연도 계획하고 있나 .	O O O O O O O O O O O
2천500명의 관객이 참석 하+ㄴ이 날 공연에서 가장 크+ㄴ 호응을 얻은 가수는 신화 멤버로 현재 솔로로도 활동 중 이+ㄴ 신혜성과 이민우. 신화의 팬들이 많이 참석 하+ㄴ덕택도 있었지만 한 그룹의 두 가수가 발라드(신혜성), 댄스(이민우)로 다른 색깔의 음악을 보이어주자 팬들은 주황색 풍선을 흔들며 환호하였다 .	O O O O O O O O O O O ORG-B O O O O O O PER-B PER-B ORG-B O O O O O O O O O PER-B PER-B O O O O O O O O O O
한국문화콘텐츠진흥원이 기획하+ㄴ '코리아-재팬 레인보우콘서트'는 한국과 일본의 음악 전문 채널이 +ㄴ Mnet과 뮤직온 TV가 공동 제작 하+여오후 7시부터 2시간 동안 한일 양국에서 동시생방송되었다 .	ORG-B O O O ORG-B ORG-B O O O O O O O O O O O O O ORG-B O O O
8월 20일 오후 7시 연세대학교 야외 노천극장.3만 3천-6만 6천원 .	O O O O LOC-B O MNY-B MNY-B MNY-B O
행사에 참여하고 싶은 관객은 공연표 예매 후 다음달 8일까지 신청하면 되+ㄴ다 .	O O O O O O O O O O O O
교통방송, 한강 콘서트 개 .	ORG-B O O O O
전주 이씨대 동종 약원은 22일, 영친왕 아들이 구(李玖)씨빈소가 마련되 +ㄴ 창덕궁 낙선재에서 상임이사회(이사장이 환의)를 열고 의친왕(義親王)이강(李堈.1877-1955년)의 손자 이+ㄴ이원(李源.44) 현대홈쇼핑 부장을 고인의 양자로 결정하였다고 이날 말하였다 .	ORG-B O O O O PER-B O PER-B O O LOC-B O O O O PER-B O PER-B ORG-B O O O O O O O
하지만 이런 결정에 대하+여고 종의 서자로서 영친왕의 이복형이며 순종의 이복동생이 +ㄴ의 친왕에게는 11번째 아들이 되는 가수 이석 씨는 격렬하게 반대하며 빈소 현장에서 20여분간 대동종 약원 측과 마찰을 빚었다 .	O O O O O O PER-B O PER-B O O O O O O O PER-B O O O O O O O O O O O O
솔로3집을 내+ㄴ 김종국은 '제자리걸음'과 함께 발라드 곡 '그녀의 남자에게'도 14위에 올려놓았다. 차트 진입 2주 만에 두 곡 모두 대단하+ㄴ 반응을 얻고 있다.2주간 1위를 지키었던 KCM의 '스마일어게인'은 김종국의 상승세에 밀리+어 2위로 내려오았다 .	O O PER-B O O O O O O O O O O O O O O O O O O O O O PER-B O PER-B O O O O O
4.가슴 아프아도(플라이 투더스카이 .	O ORG-B O O
16.광(SG워너비 .	ORG-B O
두 번째 CD에서는 현악기와 일렉트로니카 등 색다르+ㄴ 음색이 눈에 띄+ㄴ다. '별의 목소리' 2곡은 몽환적이며 '피아노'에는 잔뜩 가라앉은 감성이 깔리+어 있다. 마지막 곡 '빵'은 이대 후문에서 홍대로 옮기+ㄴ클럽 '빵'에 대하+ㄴ그리움을 담은 곡 .	O O O O O O O O O O O O O O O O O O O O O O LOC-B LOC-B O LOC-B O LOC-B O O O O
'Love'와 'Imagine', 'Pow erToPeople', 'Real Love' 등 존 레넌의 명곡을 듣을 수 있고 'ListenTheSnowIsFall ing' 등 오노 요코와 '플라스틱 오노밴드'의 곡도 만나 +ㄹ 수 있다 .	O O O O O O O PER-B O O O O O O O O PER-B O ORG-B PER-B O O O O O O
USM 대학이 창의적 이+ㄴ 젊은 기업가들에게 주+어온상을 연예인에게 수여하+ㄴ 것은 이번이 처음이라고 베르나마 통신은 전하였다 .	ORG-B O O O O O O O O O O O ORG-B O O O
시티누르할리+이자는 포럼 연설을 통하+여정상에 있을 때 성공에 대하+여 조심스럽어하며 다가오+ㄹ 시간 속의 쇠락을 경험하게 되+ㄴ다는 점을 깨닫았다고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O
"내년 1월 한국 활동계획 .	O O LOC-B O O
이날 피아노를 연주하며 세 번째 싱글 '걸프렌드'에잇어테이와 함께 제임스 잉그램의 'JustO nce'를 열창하+ㄴK는 호소력 짙은 음색으로 크+ㄴ 박수를 받았다 .	O O O O O O PER-B O PER-B O O O PER-B O O O O O O O
--27일 일본 서 세 번째 싱글 '걸프렌드'가 발매되+ㄴ다 .	O LOC-B O O O O O O O
하반기에도 일본 스케줄이 연잇어 잡히+어 있어 요즘 한 달에 한 번씩 한국으로 건너가 +아2집 녹음을 하고 있다 .	O LOC-B O O O O O O O O O LOC-B O O O O O O
다음달 13-15일, 20-21일 오후 2시 ㆍ4시 서울 정동극장에서 열리는 이번 동요콘서트에서 '동물원' 멤버들은 이들의 히트곡과 아이들이 즐기+어부르는 동요를 직접 선곡해 부르어 주+ㄴ다. '아빠 힘내세요!', 7공주의 '봄 하루' 등도 듣을 수 있다 .	O O O O O O LOC-B LOC-B O O O ORG-B O O O O O O O O O O O O ORG-B O O O O O O O
장윤정의 히트곡 '어머나'를 작곡하+ㄴ 윤명선 씨가 프로듀서로 참여하+ㄴ이 번 음반은 국악을 전공 하+ㄴ이재은의 창법을 살리+ㄴ 신세대트로트로 구성되었다 .	PER-B O O O PER-B O O O O O O O PER-B O O O O O
가수 비(23)가 아시아권 MTV 시상식에서 그랜드슬램을 달성, 아시아의 스타로 공인받았다 .	O PER-B LOC-B O O O O LOC-B O O O
한편 이날 'CCTV-MTV만다린 뮤직 아너스 2005'에서는 중국서 활동 중 이+ㄴ장나라가 '올해의 한국 가수상' 시상자로 나서+어눈길을 끌었다. '올해의 한국 가수상'은 중국 MTV에서 올 한 해 동안 방송되+ㄴ 뮤직비디오 횟수가 가장 많은 아티스트를 선정하+여시상하+ㄴ다.지나 +ㄴ '올해의 한국 가수상'은 신승훈(6회), 장나라(5회), jtL(4회)이 수상하였다. 이날 비는 '나쁘+ㄴ 남자', 'It'sRaining'으로시 상식의 피날레를 장식하였다.이 시상식은 8월 27일 오후 5시 MTV코리아에서 녹화 중계되+ㄴ다 .	O O LOC-B O O O ORG-B O O PER-B O O O O O O O O O ORG-B LOC-B O O O O O PER-B O O O O O O O O O PER-B PER-B ORG-B O O PER-B O O O O O O O O O O O LOC-B O O O
또 6일에는 스키조, 바셀린, 예레미, 크래쉬 등의 한국팀과 데뷔 20주년을 맞는 독일팀도메인, 미국 팀디어 사이드 등의 해외팀이 무대에 오르+ㄴ다 .	O O PER-B ORG-B ORG-B ORG-B O ORG-B O O O ORG-B ORG-B O O O O O O O
6인조 남성그룹 신화가 서울문화재단의 '책 읽는 서울' 캠페인 포스터 모델로 등장, 책 읽기 운동에 동참하+ㄴ다 .	O O ORG-B ORG-B O O ORG-B O PER-B O O O O O O O
길건의 '여왕 개미'도 '나+의 손짓 하나에 닫히었던 마음을 열어, 나+ㄴ너희들의 이마 위에 세례내 리+어' +이라며 수컷을 지배하+ㄴ다는 이미지가 강하게 풍기+ㄴ다 .	PER-B O O O O O O O O O O O O O O O O O O O O
한동안 잠잠하였던 '네오펑크' 불꽃이 'Boulevardof BrokenD reams'를 앞세우+ㄴ '그린데이(GreenDay)'의 신보 성공으로 다시 타오르기 시작하였다 .	O O O O O O O O ORG-B O O O O O O
이들 최고의 앨범이자 네오펑크의 수작으로 꼽히는 1994년 작 '스매쉬(Smash)'수록곡이 +ㄴ 'ComeO utA ndPlay(Keep'emSeperated)'와 'Self Esteem'도 듣을 수 있다 .	O O O O O O O O O O O O O O O O O O O
최근 이미자는 KBS1TV '가요무대' 기자간담회에서 장윤정의 재능을 높이 평가하며 아끼는 후배로 꼽으면서도, 동시에 2집 타이틀곡 '짠짜라'의 상품화에 대하+ㄴ질타도 +였다 .	O PER-B O O O PER-B O O O O O O O O O O O O O O
3집 '행복하지 말아요'로 인기를 모으+ㄴ 엠씨 더 맥스는 4집 정규 음반 발표에 앞서 +어조용필의 곡만 모으+ㄴ리메이크 음반을 선보이+ㄴ다 .	O O O O O ORG-B O O O O O O O PER-B O O O O O
그룹 터보 출신이+ㄴ 마이키(25)가 2001년 터보 해체 이후 4년 만에 혼성 트리오 M3로 복귀 하+ㄴ다 .	O ORG-B O PER-B O ORG-B O O O O O O ORG-B O O O
황우석 교수, "강원래일으키고 싶다 .	PER-B O PER-B O O
구준엽의 우정에 감탄하였다는 황 박사는 "휠체어 댄스가 어떻냐"는 강원래의 물음에 "예술이다"며 흐뭇하게 웃었다 .	PER-B O O PER-B O O O O PER-B O O O O O
11년 만에 돌아오+ㄴ '닥터 레게 .	O O O ORG-B O O
그렇었던 '닥터 레게'가 완전히 달라 지+ㄴ 모습으로 11년 만에 2집 앨범을 들고 돌아오았다 .	O ORG-B O O O O O O O O O O O O
"11년 전에는 음악을 통하+여 뭐 +이+ㄴ가를 이루려고 +였지만 지금은 그렇지 않습니다 .	O O O O O O O O O O O O
김장윤은 이들 모두 신앙공동체 사람들이라며 칭찬을 아끼지 않았다 .	PER-B O O O O O O O O
영화 '나+의 사랑 싸가지', 드라마 '어여쁘+ㄴ 당신', '슬픈 연가', '건빵 선생과 별사탕' O.S.T에 참여하+ㄴ 경력답게 마이클 볼튼과 임재범의 굵은 음색에 부드럽+ㅁ을 갖추+ㄴ 음색은 보컬로서의 장점도 지니었다. 라디오 프로그램에서 기타를 치며 김종서, 바비킴, 김현식, 전인권, 박효신의 음색으로 노래하는 개인기로 가창력을 자랑하였다 .	O O O O O O O O O O O O O O O PER-B O PER-B O O O O O O O O O O O O PER-B PER-B PER-B PER-B PER-B O O O O O O
서태지가 지난해 ETPFEST 이후 11개월 만에 영상으로 모습을 드러내 +ㄴ다 .	PER-B O O O O O O O O O O
여성 4인조 그룹 쥬얼리가 대한축구협회 홍보대사로 위촉되+ㄴ다 .	O O O ORG-B ORG-B O O O
원타임, YG패밀리 공연서 2년 만에 5집 컴 .	ORG-B ORG-B O O O O O O
이밖에도 렉시와 지누션, 빅마마, 마스터우를 비롯하+여 올해 상반기 YG언더그라운드에서 첫 선을 보이+ㄴ 45RPM, 스토니스 컹크, 소울스타 등 총 12팀이 참여하+여콘서트는 화려하+ㄴ 축제로 꾸미+어지+ㄹ 예정이다 .	O PER-B ORG-B ORG-B PER-B O O O ORG-B O O O PER-B ORG-B O ORG-B O O O O O O O O O
댄스리 메이크 VOL.1으로, 음반 제작자 이+ㄴ 남편 김현기 씨가 직접 프로듀서를 맡아 조혜련에게 +ㄴ 더없이 의미 있는 음반이다 .	O O O O O O O PER-B O O O O PER-B O O O O O O
이밖에도 음반 첫 번째 트랙에 수록되+ㄴ 히트곡 '아나까나'는 둘리스의 '원티드(Wanted)', 놀란스의 '섹시 뮤직(SexyMus ic)', 도나서머의 '핫스터프(HotStuff)' 등 우리에게 친숙하+ㄴ팝송 세곡을 모으아 만들 +ㄴ곡으로 조혜련이 직접 가사를 붙이었다 .	O O O O O O O O ORG-B O ORG-B O O O PER-B O O O O O O O O PER-B O O O O
배우 겸 가수 엄정화가 자신의 히트곡 중 댄스와 발라드 곡을 모으+ㄴ베스트 음반을 발매하+ㄴ다 .	O O O PER-B O O O O O O O O O O
한편 8월 18일 생일을 맞는 엄정화는 8월 14일 서울 명동 펑키하우스에서 팬클럽 '템프테이션'이 마련하+ㄴ 생일파티 겸 팬 미팅을 갖는다. 공식 팬미팅은 2년 만으로 일본 및 중국 팬클럽 회원들도 참석 하+ㄴ다 .	O O O O O PER-B O O LOC-B LOC-B LOC-B O ORG-B O O O O O O O O O O LOC-B O LOC-B O O O O O
'Trou ble'은 퍼커션 연주가 인상적 이+ㄴ곡으로 사랑을 속삭이는 듯 하+ㄴ펠더의 목소리가 매력적이다 .	O O O O O O O O O O O O O
감성적이+ㄴ 연주로 국내에도 많은 팬을 확보하고 있는 EJT는 이 앨범에서도 역시 이들만의 낭만적 이+ㄴ 편곡으로 비틀스를 다시 연주하였다. 편안하+ㄴ 재즈피아노가 비틀스의 로큰롤 기타 자리를 채우어주고 있다 .	O O O O O O O ORG-B O O O O O O O ORG-B O O O O ORG-B O O O O O O
애니메이션 채널투니버스는 버즈와 박혜경, 러브홀릭 등이 참여하+ㄴ 애니메이션 주제곡 앨번'WE3'를 출시하였다고 28일 밝히었다 .	O O ORG-B PER-B ORG-B O O O O O O O O O
30일 첫 방송하는 '해변으로 가+아요'의 O.S.T에는 신혜성과 이민우가 함께 부르+ㄴ 테마곡 'OceanBlue'를 삽입하+ㄴ다. 또 일본 최고 인기그룹 스마프(SMAP)의 정규 음반 수록곡으로 초난강과 신혜성이 함께 부르고 이민우가 작사에 참여하+ㄴ 노래 '하늘'의 한국어 버전도 러브 테마곡으로 수록되+ㄴ다 .	O O O O O O PER-B PER-B O O O O O O LOC-B O O ORG-B O O O PER-B PER-B O O PER-B O O O O O O O O O O
영국 출신의 여가수젬(JEM)의 노래가 다니엘 헤니가 출연하는 두 편의 광고에 연달아 배경음악으로 쓰이+ㄴ다 .	LOC-B O PER-B O PER-B O O O O O O O O O
민요`울산아가씨' 북한서도 불리+ㄴ .	O LOC-B O O
정 시인에 따르면 북한은 일제시대를 지나 +ㄴ 98년부터 `민족수난기'로 규정하고 당시 발표되었던가요, 민요, 동요 등의 노래를 자본주의와 봉건주의 이념에 상관없이 복원하는 사업을 추진하였다 .	PER-B O O LOC-B O O O O O PER-B O O O O O O O O O O O O O O
음악이 +ㄴ 남궁연이 실력 있는 신인 가수 발굴에 나서 +ㄴ다 .	O O PER-B O O O O O O O O
가수 테이가 각막 기증 홍보대사로 위촉되었다 .	O PER-B O O O O O
PD연합회"방송사고 이용하+ㄴ 검열 강화 경계 .	ORG-B O O O O O
비, 아시아 대표로 미 MTV 시상식 참 .	PER-B LOC-B O O O O O O
다음달 28일 마이애미에서 열리는 VMA는 매년 최고의 뮤직비디오를 선정하는 시상식으로 2003년에는 마돈나와 브리트니스피어스가 VMA 공연 도중 키스를 해 화제를 뿌리기도 +였다 .	O O LOC-B O O O O O O O O PER-B PER-B O O O O O O O O O
AFP통신도 31일 '한국 경찰이 인기 음악TV 프로그램에서 성기를 노출하+ㄴ두 남성 댄서를 입건하였다'고 연합뉴스 기사를 인용하+여보도 하였다 .	O O LOC-B O O O O O O O O O ORG-B O O O O
경찰은 또 1일 오전 신씨 등 2명과 그룹 럭스의 리더원 모(25)씨에 대하+여 국립과학수사연구소에 정밀 마약검사를 의뢰하였다 .	O O O O PER-B O O O PER-B O O O ORG-B O O O O
2003년 3월 문화관광부로부터 저작인접권 신탁관리단체로 지정되+ㄴ 음제협은 불법음악 사이트에 대하+ㄴ법적 이+ㄴ 대응을 주도 하+여+오았다 .	O O ORG-B O O O ORG-B ORG-B O O O O O O O
이어 "반면에 음제협의 음원 대부분은 과거의 것으로 현재 시장점유율 1%가 채 안 되며 한 이동통신사의 음악 사이트 분석 결과 매출 상위 100개 음반 중단 1개만이 음제협의 음원이었다"고 주장하+ㄴ 뒤 "음제협은 자신들이 신탁관리하는 음원 제작자가 소리바다로 인하+여 피해를 보고 있다고 말하면서도 소리바다 지분을 주면 소송 취하는 물론 저작권, 실연권 단체와 의 원만 하+ㄴ 계약을 성사시키+어주겠다고 하니 그의도가 궁금하다"고 덧붙이었다 .	O O ORG-B ORG-B O O O O O O O O O O O ORG-B O O O O O O ORG-B O O ORG-B ORG-B O O ORG-B O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O
방송위원회는 '알몸 노출' 방송사고를 내+ㄴ MBC '음악캠프'와 시어머니의 뺨을 때리는 장면을 연출 하+ㄴ KBS 시트콤 '올드미스 다이어리'에 대하+ㄴ 제재 절차에 착수하였다고 1일 밝히었다 .	ORG-B O O ORG-B O ORG-B O O O O O O O ORG-B O O O O O O O O O O
방송위의 김양하 공보실장도 연예오락 심의위원회 회의가 끝나 +ㄴ 뒤기자들과의 일문일답을 통하+여"유사하+ㄴ 사건의 재발방지를 위하+여외국처럼 5초나 7초 정도 늦게 내보내는 딜레이 방송의 도입에 대하+여서도 논의 중이며 방송법 개정 문제도 검토 중"이라고 설명하였다 .	ORG-B PER-B O ORG-B O O O O O O O O O O O O O O O O ORG-B O O O O ORG-B O O O O O O
MC몽은 안타깝+ㅁ과 허탈하+ㄴ 마음도 밝히었다 .	PER-B O O O O O
방송 출연 전 한 인터넷 카페 의 회원들에게 보내+ㄴ 메일로 알려지+ㄴ이 글에서 원종희는 "내일 모레 오후 4시에 MBC '음악캠프' +이라는 곳에 럭스가 출연하기로 +였다"면서 "몇 주 전부터 프로그램 담당자에게 연락이 +아서 직접 연주하는 방식이 아니+ㄴ MR 재생 방식의 가짜 라이브 생방송 출연을 제의하시기에 상현이형과 같이 꽤 오랫동안 생각을 하+여+보았는데 … 나오아달라는데 굳이 피하+ㄹ 것+ㄴ 없다는 생각이다"라고 적었다 .	O O O O O O O O O O O O PER-B O O O O ORG-B O O O PER-B O O O O O O O O O O O O O O O O O O O O O PER-B O O O O O O O O O O O O O O
