'부천영화제 사무국'은 내달 3일 오후 3시30분∼5시30분 부천 중동신도시 중앙공원에서 'PiFan사랑 걷기대회'를 개최 하+ㄴ다 .	LOC-B ORG-I O O O O LOC-B LOC-B LOC-B O O O O O
전보에는 "오후 6시쯤 도착 예정"이라며 "연극 시작 전에 당신을 보+ㄹ 수 없을지도 모르니 11시30분까지 기다리겠소, 사랑하는 댄으로부터"라고 쓰이어 있다. '댄(Dan)'은 다이너마이트의 약자로 둘이 즐기+어쓰던 애칭 중 하나이다. 경매는 23일 끝나며 약 3만달러 선에서 낙찰되+ㄹ 것으로 보이+ㄴ다 .	O O O O O O O O O O O O O MNY-B O O PER-B O O PER-B O O O O O O O O MNY-B O O MNY-B O O O O O
제4회 미쟝센 단편영화제(MGFF2005)가 23일 저녁 서울 CGV 용산에서 개막식을 갖고 1주일간의 일정에 들어가 +았다 .	O O O O O LOC-B LOC-B LOC-I O O O O O O O
입장료는 3천원(심야 상영 7천원, 개ㆍ 폐막식 5천원)이며 CGV(www. cgv. co.kr)와 맥스무비(www.maxmovie. com)의 사이트에서 예매 하+ㄹ 수 있다 .	O MNY-B O MNY-B O O MNY-B ORG-B O O ORG-B O O O O O O O
민족문제연구소는 24일 태평양전쟁피해보상추진협의회와 독립영화 제작소`스피리통' 등 일본 시민단체 등과 함께 `2005한일 공동 다큐멘터리 제작위원회'를 구성, 다큐멘터리 `안녕, 사요나라'(가제)를 제작 중이라고 밝히었다 .	ORG-B O ORG-B O ORG-B O LOC-B O O O ORG-B ORG-I ORG-I ORG-I O O O O O O O O
공동준비위는 또 이다큐멘터리를 영어 ㆍ 중국어 등으로 번역하+여 해외에서도 상영 하+ㄹ 계획이며, 부산국제영화제 ㆍ 일본 야마가타 국제다큐멘터리 영화제 등에도 출품을 계획하고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O
이날 오전 10시부터 오후 5시까지 임시수도 기념관 앞마당에서는 당시 시대상을 복원하는 기초자료와 한국전쟁기 부산의 역사자료로 삼기 위 하+여 한국전쟁 때 부산에서 생활하였던 사람들의 증언을 녹취하+ㄴ`내가 알는 한국전쟁과 부산' 행사가 열리+ㄴ다 .	O O O O O LOC-B LOC-I O O O O O O LOC-B O O O O O O LOC-B O O O O O O LOC-B O O O
24일 오후 서울 명동성당에서는 천주교 주교회의 매스컴 위원회 주최로 '교회와 영화, 회고와 전망'이라는 주제의 세미나가 열리+ㄴ다 .	O O LOC-B LOC-I ORG-B ORG-I O O O O O O O O O O O
심지어 1987년 불의의 교통사고로 왼쪽 골반이 파열되+어무려 네 차례의 대수술을 거치는 동안에도 그는 지팡이에 몸을 의지하고 다니면서 영화사목에 매달리었다 .	O O O O O O O O O O O O O O O O O O O O
토지공사 유치 무산에 따르 아`공공기관 배치 방침 변경 수용 불가'를 천명하는 등 강력 반발하였던 부산시가 24일 `비판적 수용'으로 입장을 선회하였다 .	ORG-B O O O O O O O O O O O O O ORG-B O O O O O O
허 시장은 오후 3시기자회견을 갖고 공공기관이전에 대하+ㄴ부산시의 공식 입장과 향후 계획에 대하+여 발표 하+ㄹ 예정이다 .	PER-B TIM-I TIM-B TIM-I O O ORG-B O O O O O O O O O
지방분권과 혁신을 위하+ㄴ 부산운동본부는 "국가 백년대계를 위하+여 이번 정부의 공공기관이전 결정에 다소 미흡하+ㄴ점이 있더라도 흔쾌히 수용하는 자세가 필요하다"고 지적하였다 .	ORG-B ORG-I ORG-I ORG-I O O O O O O O O O O O O O O O O
융미옌 사장은 "매기가 지나 +ㄴ 주 최종 배역을 받기 위 하+여 미국 로스앤젤레스로가 +았다"면서 "매기가 미션 임파서블에서 주연급 배역을 맡게 +었다는 소식을 전하게 되+어 매우 기쁘다"고 말하였다 .	PER-B O PER-B O O O O O O O O LOC-B LOC-B O PER-B O O O O O O O O O O O O O
이번에 극장에서 선보이는 이 영화는 곤충이나 새가 등장하는 부분을 제외하고 들짐승 중심으로 재편집 하+ㄴ 버전이다. 영화는 지나 +ㄴ 1월 15분가량을 삭제하+ㄴ채로 18세 관람가 등급을 받았지만 길+ㄴ 상영시간으로 극장 개봉에 어려움을 겪었고 결국 68분 분량으로 다시 편집하+여극장 개봉을 하게 +었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이번 특별전은 일상에서 마주치는 익숙하면서도 낮선 순간을 블랙코미디로 연출하며 지나 +ㄴ해와 올해 잇따르 아칸영화제 경쟁 부분에 진출하+ㄴ 홍 감독의 작품세계를 엿보는 계기가 되+ㄹ 것으로 기대되+ㄴ다 .	O O O O O O O O O O O O O O O O O PER-B O O O O O O O O
국내 개봉은 8월 4일 예정 .	O O O O O O
영제협"매니지먼트사와 공동제작 않겠다 .	ORG-B O O O
김 회장은 "밥그릇 싸움 차원의 문제가 아니다.매니지먼트사에 제작을 하지 말라는 것이 아니라 스스로 개발하라는 뜻이다"라고 강조하며 "제작사와 매니지먼트사가 각자의 역할에 충실하+여 균형 있는 수익구조를 만들어내자는 의미+이다"라고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O
대신 2007학년도부터 고급 제작 훈련 프로그램이+ㄴ 제작 연구 과정을 신설 하+ㄴ다 .	O O O O O O O O O O O O
베니스가 낳은 사상 최고의 바람둥이 카사노바를 다루+ㄴ 영화 '카사노바'가 8월 31-9월 10일 이탈리아에서 열리는 제62회 베니스 영화제에서 상영되 +ㄴ다 .	LOC-B O O O O PER-B O O PER-B O O O LOC-B O O LOC-B O O O O
영화제 측은 지나 +ㄴ 30여년간 베니스를 배경으로 만들어 지+ㄴ 카사노바를 내세우+ㄴ 첫 번째 영화+이라고 초청 배경을 설명하었지만 초청 부문을 밝히지는 않았다 .	O O O O O LOC-B O O O PER-B O O O O O O O O O O O O
2000년 개봉작이지만 이번에 출시되는 SE(스페셜 에디션)는 극장 개봉 당시 보+ㄹ 수 없었던 11분의 장면이 추가되 +ㄴ 무삭제판이다 .	O O O O O O O O O O O O O O O O O O
멤피스는 어쩌+ㄹ 수 없이 일을 맡기 +ㄹ옛 친구들을 하나둘 부르어 모으+ㄴ다 .	PER-B O O O O O O O O O O O
'제9회 부천국제판타스틱 영화제' 입장권 예매가 27일 시작되었다 .	O O O O O O O O
싸이더스픽쳐스, 좋은 영화 합 .	ORG-B ORG-B ORG-I O O
27일 태국 언론 보도에 따르면 태국 정가의 논쟁에 느닷없이 영화제목이 등장하+ㄴ 것은 집권여당 `타이락 타이'(TRT)의 내분에서 발단이 +었다 .	O LOC-B O O O LOC-B O O O O O O O O ORG-B O O O O
이 같은 `영화 논쟁'은 제2야당이 +ㄴ차 타이의 부총재 이+ㄴ`태국마사지 업계의 황제' 추위 카몬위싯이 뛰어들면서 더욱 흥미진진 하+여지고 있다 .	O O O O O ORG-B ORG-I O PER-B PER-I PER-I PER-B PER-I O O O O O O
김혜수, "촬영 내내 힘들었어요 .	PER-B O O O O
원혼에 쫓기고 어리+ㄴ딸과 몸싸움을 벌이던 여주인공 선재는 터지는 형광등과 비처럼 쏟아지는 핏물을 얻어맞기도 하+ㄴ다 .	O O O O O O PER-B O O O O O O O O
28일 오전 영화 제작가협회가 매니지먼트사의 공동 제작, 지분 요구를 거부하고 배우들의 과도 하+ㄴ 출연료에 제동을 걸기로 결의 하+ㄴ데 잇어 이날 오후에는 몇몇 매니지먼트사가 연대하+ 여 입장을 밝히었다 .	O O ORG-B ORG-I O O O O O O O O O O O O O O O O O O O O O O O O
이에 매니지먼트협회와 배우들은 좋은 파트너의 모습으로 한국엔터테인먼트의 발전을 위하+여 노력 하+ㄹ 것"이라고 밝히었다 .	O ORG-B O O O O LOC-B O O O O O O O
대종상 영화제는 다음달 1일 저녁 7시30분부터 시청 앞 광장에서 열리는 대종상 영화제의 개막식에서 개막작으로 북한 영화 '피묻은 략패'를 상영하+ㄴ다고 29일 전하였다 .	O O O O O O O O O O O O O O LOC-B O O O O O O O
16회에 걸치+어오후 7시30분에 한 차례 상영되며 4-7일과 18-21일에는 포야르전이, 11-14일과 25-28일에는 국내 독립애니메이션 이 상영되 +ㄹ 예정이다. 관람료는 4천원 .	O O O O O O MNY-B O O MNY-B O O O O O O O O MNY-B O
이에 앞서 +어강우석 감독은 기자들과 만나 +ㄴ 자리에서 배우들의 높은 개런티와 매니지먼트사의 공동 제작 요구에 대하+여강도 높게 비난하였고 와중에 송강호 최민식 등의 실명이 거론되었다 .	O O PER-B O O O O O O O O O O O O O O O O PER-B PER-B O O O O
PD연합회, 영화제작가협회 결의 지지 성 .	ORG-B ORG-B O O O O
PD연합회 한 관계자는 "영화뿐 아니라 드라마에서도 제작비의 상당 부분이 스타개런티로 소요되며, 끼우어 팔기가 만연하+여 있을 뿐 아니라 매니지먼트사가 아예 외주제작사가 되+어 방송 전반에 걸치+어부당 하+ㄴ 권력을 행사하고 있기에 제 협의 결의를 지지하는 것"이라고 밝히었다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
폐막작으로 미국 크리스켄티스의 '오픈 워터'와 우리나라 유상욱 감독의 '종려나무 숲'이 선정되었다 .	O LOC-B PER-B O O O PER-B O O O O O
카젠버그 대표는 '라이언 킹'으로 디즈니 애니메이션의 전성기를 열었다고 평가받고 있는 제작자.지나 +ㄴ 95년 스티븐 스필버그 감독과 음반업계의 거물 데이비드 게펜 등과 함께 드림웍스를 설립하였으며 이후 '이집트 왕자', '슈렉1, 2', '샤크' 등을 히트시키며 애니매이션의 '마이다스의 손'으로 불리고 있다 .	PER-B O O O ORG-B O O O O O O O O PER-B PER-I O O O PER-B PER-I O O ORG-B O O O O O O O O O O O O O O O
함께 기자회견에 참석하+ㄴ 톰 맥그래스 감독은 "제프리카젠버그가 원안을 제공하었고 우정에 대하+ㄴ 재미있는 얘기를 만들 +ㄹ 수 있겠다는 생각을 +였다"며 "이 영화의 테마는 배경이 도시건정 글이 건 간에 우정의 힘이다"고 설명하였다 .	O O O PER-B PER-I O PER-B O O O O O O O O O O O O O O O O O O O O O O O O
광주 문진위가 주최하고 문화관광부와 광주시가 후원하는 이 문화영상제에는 진도아리랑뮤직비디오, 영산강을 따르 아흐르는 남도 이+ㄴ의 다큐멘터리, 광주문화수도 CF 등 전국 각 지역의 유.무형문화재를 소재로 하+ㄴ 영상작품이 공모 방식을 통하+여선 보이+ㄹ 예정이다 .	ORG-B ORG-I O ORG-B ORG-B O O ORG-B O LOC-B O O O O O ORG-B O O O O O ORG-B O O O O O O O O O
강 감독은 29일 오후 10시 "최민식 씨와 송강호씨에게 "+이라는 제목의 e-메일을 언론사에 보내+었다 .	O O O O O PER-B O PER-B O O O O O O
강우석 감독의 공개서한을 통하+ㄴ 사과에 대하+여 최민식과 송강호는 30일 오전 입장을 밝히+ㄹ 전망이다 .	PER-B O O O O O PER-B PER-B O O O O O O
영화진흥법 개정안과 음악산업진흥법 ㆍ게임산업법 제정안의 국회 심의가 다가오+ㅁ에 따르 아또다시 성인 연령 기준에 대하+ㄴ 논란이 뜨겁게 달아오르+ㄹ 조짐을 보이고 있다 .	O O O O O O O O O O O O O O O O O O O O O
이에 대하+여영화인회의 유창서 사무국장은 "영화는 술이나 담배와 같은 청소년 유해물과 다른 문화매체"라고 전제하+ㄴ 뒤 "단속과 규제를 쉽게 하기 위 하+여 기준을 통일하려는 것은 행정편의주의적 이+ㄴ 발상"이라고 반박하였다 .	O ORG-B PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
이에 앞서 +어15대 국회 시절 이+ㄴ 1999년 영화진흥법 개정 과정에서도 똑같은 문제를 놓고 문광위는 법사위와 본회의에서 격돌하+여 판정승을 거두었다 .	O O O O O O O O O O O O O ORG-B ORG-B O O O O O
일본 영화계의 두 거장 미야자키 하야오와 기타노 다케시의 음악감독으로 유명한 히사이시 조는 그동안 '원령 공주', '센과치히로의 행방불명', '하울의 움직이는 성', '기쿠지로의 여름', '하나비' 등의 음악을 담당하며 세계적으로 이름을 알리+ㄴ바 있다 .	LOC-B O O O PER-B PER-I PER-B PER-I O O PER-B PER-I O O O O O O O O O O O O O O O O O O O
포털사이트 야후코리아는 30일 영화 전문지씨네 21 과 제휴 하+여영화 정보 서비스를 시작하+ㄴ다고 밝히었다 .	O ORG-B O O ORG-B ORG-I O O O O O O O O
올 여름 '스타워즈 3'과 '배트맨비긴즈'의 흥행 호조에도 불구하고 미국 영화 시장은 18주째 전년 대비 흥행 수입 감소를 거듭, 20년 만의 최악의 상황을 맞이하고 있다 .	O O O O O O O O LOC-B O O O O O O O O O O O O O O O O
LA타임스는 스튜디오들이 안전하+ㄴ 흥행만 노리+어대범하고 전복적 이+ㄴ 작품들로 승부하기를 포기하+ㄴ 것을 이 같은 리메이크 범람의 가장 크+ㄴ이 유로 꼽았다 .	O O O O O O O O O O O O O O O O O O O O
1929년 11월 3일 일어나 +ㄴ 광주학생 독립운동을 소재로 하+ㄴ영화가 만들어 지+ㄴ다. 그러나 장르는 예상 밖으로 코믹 액션 로맨스+이다 .	O O O O O O O O O O O O O O O O O O O
유진로보틱스`로봇' 시사회 이벤트 참 .	ORG-B O O O O
영화 및 영상물 촬영 유치가 전북지역 경제 활성화에 많은 도움이 되+ㄴ 것으로 나타나 +았다 .	O O O O O LOC-B O O O O O O O O O
전주 영상위원회 관계자는 "영화와 드라마 제작사를 계속 유치하고 제작에 필요한 지원을 아끼지 않은 결과 많은 제작자들이 전주를 비롯하+ㄴ도내에서 촬영을 희망하고 있다"며 "영화 및 영상물 촬영을 유치하면 지역경제 활성화는 물론 지역을 홍보하는 데도 많은 도움이 되+ㄴ다"고 말하였다 .	ORG-B ORG-I O O O O O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O O O O
한국의 카이에 뒤 시네마를 표방하며 지나 +ㄴ 1989년 처음 창간 되+ㄴ '영화 언어'는 지나 +ㄴ 1995년 재정난으로 정간 되었지만 2003년 여름호를 통하+여복간 되+ㄴ바 있다. 국내에서 보기 드물+ㄴ 비평 전문계간지로, 영화평론가 이+ㄴ 김영진 편집장을 비롯하+여소장 평론가들과 학자들이 참여하고 있다.201쪽, 9천원 .	LOC-B O O O O O O MNY-B O O O O O O O MNY-B O O O O O O O O O O O O O O O PER-B O O O O O O MNY-B O
장첸이 30일부터 한국 팬과 만나게 되는 영화 '에로스'는 홍콩의 왕자웨이, 미국의 스티븐 소더버그, 이탈리아의 미켈란젤로 안토니오 니 등 세 거장이 각각 '에로스'(Eros)를 주제로 만들 +ㄴ 중 편을 묶은 옴니버스 영화.장 첸은 왕자웨이의 작품 '그녀의 손길'에서 궁리(鞏悧)와 호흡을 맞추었다 .	PER-B O ORG-B O O O O O LOC-B PER-B LOC-B PER-B PER-I LOC-B PER-B O O O O PER-B O O O O O O O O O PER-B PER-I PER-B O O O PER-B O O O
미국 할리우드 영화배우 이+ㄴ 톰 크루즈는 지나 +ㄴ 16일 파리 에펠탑에서 연인 케이티 홈즈에게 청혼 하+ㄴ이유에 대하+여 " 그녀가 에펠탑을 보+ㄹ 때마다 이 순간을 기억하도록 하기 위 하+여서"라고 밝히었다 .	LOC-B O O O PER-B PER-I O O O LOC-B LOC-B O PER-B PER-I O O O O O LOC-B O O O O O O O O O O
크루즈는 최근 '오프라 윈프리쇼'에 출연하+여 홈즈와의 연인임을 과시하며 소파위를 몇 차례 오르락 내리락 하고 허공에 손을 내젓으며 "나+ㄴ 사랑에 빠지었다 .	PER-B O O O O PER-B O O O O O O O O O O O O O O O
대종상 영화제 측은 1일 오전 이 같은 사실을 전하며 개막작으로 선보이+ㄹ 예정이던 '피묻은 략패'의 상영도 취소 하+ㄴ다고 밝히었다 .	O O O O O O O O O O O O O O O O O O O
본명이 파놈이 룸이 +ㄴ토니자는 태국-중국 수교 30주년을 기념하기 위하+여 30일 베이징에서 `태국산 과일페스티벌'이 개막되 +ㄴ 데 때 맞추+어 현지에서 태국산과일 홍보에 나서 +었다고 태국 언론이 1일 보도하였다 .	O PER-B O PER-B LOC-B O O O O O LOC-B LOC-B O O O O O O O LOC-B O O O LOC-B O O O O
XTM, '올빼미 영화제' 개 .	ORG-B O O O O
케이앤엔터테인먼트, 제작사 추가 인 .	ORG-B O O O O
케이앤엔터테인먼트는 케이앤컴퍼니(대표 김용빈)의 엔터테인먼트 사업을 총괄하는 계열회사.1997년 설립되+ㄴ 케이앤컴퍼니는 정보통신 관련 사업으로 2001년 코스닥에 등록되었다 .	ORG-B ORG-B PER-B ORG-I O O O O ORG-B O O O O O O O
문화부는 이 박물관에 각종 관련 유품을 전시하고 멀티미디어를 통하+여쉰들러의 복잡하었던 삶과 그의 노력 덕택에 간신히 목숨을 구하+ㄹ 수 있었던 유대인들의 관하+ㄴ이야기, 생존자들의 증언을 보이어 주+ㄹ 예정이다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O
영화제 측은 "지나 +ㄴ 20일 마감하+ㄴ 출품 공모에서 20여개국, 100여편의 작품이 접수되었다 .	O O O O O O O O O O O O O
인천시청소년회관은 7월 한달간 건전영화 10편을 무료 상영 하+ㄴ다 .	ORG-B O O O O O O O O
6월 관객수 전년 동기 대비 대폭 감 .	O O O O O O O O
6월 한국영화의 점유율 역시 43.6%에 그치+어지나 +ㄴ 2월 이후 가장 낮았으며 전년 동기에 비하+여서도 15.4%포인트가 줄어들었다 .	O LOC-B O O O O O O O O O O O O O O O
아시아나 국제단편영화제(AISFF ㆍAsianaI nternationalShortFilmFestival) 집행위원회(집행위원장 손숙)는 11월 열리는 제3회 영화제에서 상영되 +ㄹ 작품을 다음달 26일까지 공개모집 하+ㄴ다 .	O O O O O PER-B O O O O O O O O O O O O
응모자는 9월 23일까지 ▲시놉시스 ▲시나리오 ▲제작 기획서 ▲감독 필모그러피 ▲포트폴리오 등을 사무국에 접수하면 되+ㄴ다. 대상자에게는 상금 500만원과 미주왕복 항공권 2매가 시상되며 이 제도를 거치+어 완성되 +ㄴ영화는 내년도 영화제의 개막작으로 선보이+ㄴ다.☎ 02-783-6518~9, www. aisff. org 제3회 아시아나국제단편영화제는 11월 2-7일 서울에서 열리며 영화제 직후부터 6개월 동안 아시아나항공에서 기내 고객들을 대상으로 상영회를 갖는다 .	O O O O O O O O O O O O O O O O MNY-B LOC-B ORG-I O O O O O O O O O O O O O O O O ORG-B O O LOC-B O O O O O ORG-B O O O O O O
이번에는 서울 삼성동 코엑스에서 열리고 있는 한일문화교류전에 참석하기 위하+여 한국을 찾았다 .	O LOC-B LOC-B LOC-B O O O O O LOC-B O O
한국영화에 대하+ㄴ요시노의 관심은 내한하+ㄴ 해외 스타들의 그것과는 적극성 면에서 차이가 있어 보이었다 .	LOC-B PER-B O O O O O O O O O O O
"비가 생선 초밥을 좋아하+ㄴ다는데 정말이냐", "유지태의 키가 얼마나 되냐", "보아는 몇 살이냐"며 한국 연예인들에 대하+여 이것저것 물어보던 그에게 일본에서의 한류 현상에 대하+ㄴ의견을 묻자 "이미 붐의 차원을 넘어서 +었다"는 대답이 돌아오았다 .	PER-B O O O O PER-B O O O PER-B O O LOC-B O O O O O LOC-B O O O O O O O O O O O O
1938년 한 라디오 방송 이 미국 LA 전역을 흔들어 놓는다 .	O O O O O LOC-B LOC-B O O O O
영화 제작 계획이 갑자기 앞당기+어지+ㄴ 것은 2004년 9월 .	O O O O O O O O O
▲'우주전쟁'의 제작비는 약 1억3천만 달러(약 1천340억원)로 29일 개봉 첫날 미국과 캐나다에서만 2천130만달러(약 220억원)를 벌어들이었다 .	O O O MNY-B MNY-I MNY-B MNY-B O O LOC-B LOC-B MNY-B MNY-B O O
지나+ㄴ4-5월 2005전주국제영화제에서 개막작으로 상영되 +ㄴ바 있는 '디지털 3인 3색'이 22일 서울 종로구 낙원동의 필름포럼(구 허리우드극장)에서 개봉하+ㄴ다 .	O O O O O O O O O O LOC-B LOC-B LOC-B LOC-B LOC-B O O
3일 오후 3시께 부산 중구 모극장에서 정모(34.여)씨가 목 부위를 흉기에 찔리+어 숨지+어 있는 것을 극장 직원 홍모(22)씨가 발견, 경찰에 신고하였다 .	TIM-I TIM-B TIM-I LOC-B LOC-B O PER-B O O O O O O O O O PER-B O O O O
부천영화제 사무국은 그동안 영화제가 부천시민들에게 크게 호응을 받지 못하였다는 자체 분석에 따르 아올해는 마니아와 대중이 함께하는 축제로 승화시키기로 하고 갖가지 이벤트를 준비하였다 .	LOC-B ORG-I O O LOC-B O O O O O O O O O O O O O O O O O O
아울러 시청사 잔디광장에서 4차례 한여름 밤(오후 8시30분) 야외건전영화 무료 상영행사가 열리+ㄴ다 .	O O O O O O O O O O O O
'청춘만화'는 성룡 같은 액션 배우를 꿈꾸는 태권도 전공 학생이지환(권상우 분)과 당대 최고의 배우를 꿈꾸는 배우 지망생 진달래(김하늘 분)의 11년 우정과 사랑을 그리 +ㄴ 멜로 드라마.2002년 '연애소설'로 데뷔 하+ㄴ이 한 감독이 메가폰을 잡는다 .	O PER-B O O O O O O PER-B O O O O O O O PER-B O O O O O O O O O O O O O O O O
시는 지난해 12월 엠파스와 '인터넷 홍보사업'을 제휴, 엠파스에 시 홈페이지를 연결하+여시정 소식과 부천의 자랑거리 등을 홍보하고 있다 .	O O O ORG-B O O O ORG-B O O O O LOC-B O O O O O
전주영화제에 따르면 '디지털 3인 3색 2005'는 최근 이탈리아의 페사로 영화제에서 상영되 +ㄴ데 잇어스위스로 카르노 영화제, 캐나다 밴쿠버 국제영화제에도 초청되었다 .	O O O O O O O LOC-B O O O O O O O O O O O O
2위는 지난달 30일 개봉하+ㄴ 김혜수 주연의 '분홍신'. 같은 기간 서울 54개 스크린에서 7만4천550명이 +았다.3일까지 전국 누계는 250개 스크린 45만명 .	O O O O PER-B O O O O LOC-B O O O O O O O O O O
'호스티지' 2주 연속 정 .	O O O O O
2.마파도(코미디ㆍ 추창민 .	O PER-B O
8.내셔널 트레지+어(어드벤처 ㆍ 존 터틀타웁 .	O O O PER-B PER-I O
14.오션 스트웰브(범죄 ㆍ스티븐 소더 버그 .	O O PER-B O O O
지난해 처음 시행되+ㄴ 방송 영화 제작 지원사업은 한국영화의 상영 창구 다양화와 제작 활성화를 도모하기 위하+ 여영진위와 KBS가 공동으로 운영 중 이+ㄴ 사업이다 .	O O O O O O O LOC-B O O O O O O O ORG-B ORG-B O O O O O O
▲'기막히+ㄴ 사내들', '킬러들의 수다', '알는 여자' 등에서 장진 감독과 호흡을 맞추었던 정재영이 장 감독의 신작 '박수칠 때 떠나라'(제작 어나더썬데이)에 카메오로 출연하+ㄴ다 .	O O O O O O O PER-B O O O PER-B PER-B O O O O O ORG-B O O O
"집이 순천이라 서울에서 혼자 살고 있는데도 하나도 안무섭다.공포영화를 보고 나+아서 잔상이 전혀 안 남기 때문이다. 오히려 무섭 ㄴ 것은 밤길가다가 들리는 개 짖는 소리+이다. 어리+ㄹ 때 집채만 하+ㄴ 개한테 물리+ㄴ 기억이 있어 진짜 무섭다."속사포처럼 내뱉는 말이 통통 튀었다. 공포영화를 찍은 것+이 아니라 무슨 액션어드벤쳐 영화의 주인공 같았다 .	O LOC-B LOC-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
재중동 포장률 감독의 영화 '망종'이 3일 이탈리아에서 폐막되 +ㄴ 제41회 페사로 영화제에서 대상을 수상하였다 .	O PER-B O O O O LOC-B O O O O O O O O
중앙대가 문화콘텐츠 기업과 함께 총 470억원을 들이어 국내 첫 산학협력 연기학교(actingschool)를 내년 5월 개원 하+ㄴ다 .	ORG-B O O O O MNY-B O O O ORG-B ORG-B O O O O O
중앙대 연기예술원은 장ㆍ단기 과정은 학위를 주는 교육과정은 아니지만 대학생들이나 대학 진학을 희망하는 연기자 지망생들이 연기교육을 받으면서 학점도 인정받을 수 있는 학점은행을 운영하+ㄴ다 .	ORG-B ORG-I O O O O O O O O O O O O O O O O O O O O O
톱스타 장동건과 김희선의 소속사가 전격적으로 합병하였다 .	O PER-B PER-B O O O O
두 영화는 오는 12월 비슷하+ㄴ 시기에 개봉되 +ㄹ 예정이다 .	O O O O O O O O O O
극장 관객수는 96년 이후 매년 평균 31%씩 증가하+여+오았으며 하락세를 보이+ㄴ 것은 10년 만에 이번이 처음이다. 스크린 수가 꾸준히 증가세를 보이고 있는데 반하+여이처럼 관객수는 줄어들고 있어서 극장이 예상보다 빨리 포화상태에 이르+ㄴ 것이 아니냐는 영화계 일각의 우려는 한층 더 설득력을 갖게 +었다. 영화진흥위원회의 집계에 따르면 지난해 초 1천132개 +이었던 전국 스크린수는 올해 초 38%가 증가하+여 1천567개 +이었으며 극장수는 상반 기내 내 늘고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ORG-B O O O O O O O ORG-B O O O O O O O O O O O O O O O O O O O O O
